moduleType,moduleName,count,mean,std,min,25%,50%,75%,max
MODULE,bonded_tokens_pool,2444.0,109873902209492.64,5733242866807.818,100816000000000.0,106540000000000.0,108832000000000.0,112287250000000.0,123305000000000.0
MODULE,distribution,2444.0,202326860883797.06,13801721240173.096,176021000000000.0,192679250000000.0,201237000000000.0,211268250000000.0,232472000000000.0
MODULE,fee_collector,1978.0,29060.666835187058,48709.304760275074,7.0,5059.75,11145.0,50000.0,1000000.0
MODULE,gov,1707.0,1615700058.582308,750888195.6159332,1000000000.0,1000000000.0,1000000000.0,2000000000.0,3000000000.0
MODULE,not_bonded_tokens_pool,2444.0,3807045965630.1147,2582388486022.94,1116730000000.0,1951562500000.0,2603010000000.0,5296380000000.0,14936200000000.0
