timestamp,value
2023-05-02T13:00:00Z,237991068842525
2023-05-02T12:00:00Z,237973830182796
2023-05-02T11:00:00Z,237969112804909
2023-05-02T10:00:00Z,237963706604614
2023-05-02T09:00:00Z,237959250392199
2023-05-02T08:00:00Z,237959286910248
2023-05-02T07:00:00Z,237953442659777
2023-05-02T06:00:00Z,237895060519412
2023-05-02T05:00:00Z,237892888623381
2023-05-02T04:00:00Z,237892038273962
2023-05-02T03:00:00Z,237876052118033
2023-05-02T02:00:00Z,237993408234254
2023-05-02T01:00:00Z,237987373431235
2023-05-02T00:00:00Z,237984338562950
2023-05-01T23:00:00Z,237981631558015
2023-05-01T22:00:00Z,237970790848891
2023-05-01T21:00:00Z,237957577061921
2023-05-01T20:00:00Z,237951555982385
2023-05-01T19:00:00Z,237947736194159
2023-05-01T18:00:00Z,237944086826016
2023-05-01T17:00:00Z,237940657677507
2023-05-01T16:00:00Z,237927218689062
2023-05-01T15:00:00Z,237809805263994
2023-05-01T14:00:00Z,237809565863922
2023-05-01T13:00:00Z,237810650612250
2023-05-01T12:00:00Z,237801664080894
2023-05-01T11:00:00Z,237799780873796
2023-05-01T10:00:00Z,237797599881038
2023-05-01T09:00:00Z,237794132801478
2023-05-01T08:00:00Z,237750941103858
2023-05-01T07:00:00Z,237743640098228
2023-05-01T06:00:00Z,237747854607363
2023-05-01T05:00:00Z,237747743331815
2023-05-01T04:00:00Z,237737432336756
2023-05-01T03:00:00Z,237694272529519
2023-05-01T02:00:00Z,237689205780865
2023-05-01T01:00:00Z,237685771446753
2023-05-01T00:00:00Z,237681461422691
2023-04-30T23:00:00Z,237662772928423
2023-04-30T22:00:00Z,237654036620862
2023-04-30T21:00:00Z,237643685534369
2023-04-30T20:00:00Z,237643099348170
2023-04-30T19:00:00Z,237616190586749
2023-04-30T18:00:00Z,237613649922293
2023-04-30T17:00:00Z,237606121462941
2023-04-30T16:00:00Z,237592289666217
2023-04-30T15:00:00Z,237588457771975
2023-04-30T14:00:00Z,237582751671647
2023-04-30T13:00:00Z,237540300167598
2023-04-30T12:00:00Z,237498375575354
2023-04-30T11:00:00Z,237495127576584
2023-04-30T10:00:00Z,237494151439645
2023-04-30T09:00:00Z,237486529292439
2023-04-30T08:00:00Z,237444210513664
2023-04-30T07:00:00Z,237415798545883
2023-04-30T06:00:00Z,237410636756003
2023-04-30T05:00:00Z,237399508068724
2023-04-30T04:00:00Z,237397764306310
2023-04-30T03:00:00Z,237397173296322
2023-04-30T02:00:00Z,237395110387154
2023-04-30T01:00:00Z,237392615718152
2023-04-30T00:00:00Z,237378043709655
2023-04-29T23:00:00Z,237373490035122
2023-04-29T22:00:00Z,237372621943497
2023-04-29T21:00:00Z,237362309302194
2023-04-29T20:00:00Z,237344728801690
2023-04-29T19:00:00Z,237342581138146
2023-04-29T18:00:00Z,237338495569596
2023-04-29T17:00:00Z,237320459992217
2023-04-29T16:00:00Z,237275568766168
2023-04-29T15:00:00Z,237268024087931
2023-04-29T14:00:00Z,237258444351815
2023-04-29T13:00:00Z,237240160574554
2023-04-29T12:00:00Z,237231323709543
2023-04-29T11:00:00Z,237230003142226
2023-04-29T10:00:00Z,237228021933284
2023-04-29T09:00:00Z,237197639555512
2023-04-29T08:00:00Z,237192003292703
2023-04-29T07:00:00Z,237194772811889
2023-04-29T06:00:00Z,237170445147118
2023-04-29T05:00:00Z,237167479774061
2023-04-29T04:00:00Z,237157008846265
2023-04-29T03:00:00Z,237155254867087
2023-04-29T02:00:00Z,237154261649084
2023-04-29T01:00:00Z,237153583859872
2023-04-29T00:00:00Z,237152451033855
2023-04-28T23:00:00Z,237150338324019
2023-04-28T22:00:00Z,237145195602676
2023-04-28T21:00:00Z,237135184307534
2023-04-28T20:00:00Z,237128350616759
2023-04-28T19:00:00Z,237116820769815
2023-04-28T18:00:00Z,237114759317235
2023-04-28T17:00:00Z,237099455271433
2023-04-28T16:00:00Z,237077425488632
2023-04-28T15:00:00Z,237017105332825
2023-04-28T14:00:00Z,237184457789637
2023-04-28T13:00:00Z,237077103987528
2023-04-28T12:00:00Z,237068087970977
2023-04-28T11:00:00Z,237065217702787
2023-04-28T10:00:00Z,237065257863712
2023-04-28T09:00:00Z,237064372307504
2023-04-28T08:00:00Z,237092651148220
2023-04-28T07:00:00Z,237073801167812
2023-04-28T06:00:00Z,237053564760170
2023-04-28T05:00:00Z,237032706808314
2023-04-28T04:00:00Z,237027476016281
2023-04-28T03:00:00Z,237017659153830
2023-04-28T02:00:00Z,237022426184810
2023-04-28T01:00:00Z,237012246677499
2023-04-28T00:00:00Z,237012260995925
2023-04-27T23:00:00Z,237012467707110
2023-04-27T22:00:00Z,237013010047275
2023-04-27T21:00:00Z,237000982933516
2023-04-27T20:00:00Z,236999513897031
2023-04-27T19:00:00Z,237004043529434
2023-04-27T18:00:00Z,236999317994230
2023-04-27T17:00:00Z,237004356529947
2023-04-27T16:00:00Z,236999897577628
2023-04-27T15:00:00Z,237794488618393
2023-04-27T14:00:00Z,237792249455501
2023-04-27T13:00:00Z,237758214965098
2023-04-27T12:00:00Z,237754101640484
2023-04-27T11:00:00Z,236788833428414
2023-04-27T10:00:00Z,236786245537843
2023-04-27T09:00:00Z,236787093487577
2023-04-27T08:00:00Z,236789440507955
2023-04-27T07:00:00Z,236868674730785
2023-04-27T06:00:00Z,236865862320146
2023-04-27T05:00:00Z,236883001656971
2023-04-27T04:00:00Z,236876629744863
2023-04-27T03:00:00Z,236874277180695
2023-04-27T02:00:00Z,236913591479612
2023-04-27T01:00:00Z,236895035120379
2023-04-27T00:00:00Z,236891991858117
2023-04-26T23:00:00Z,236889867164693
2023-04-26T22:00:00Z,236844888382198
2023-04-26T21:00:00Z,236841354236461
2023-04-26T20:00:00Z,236835049953485
2023-04-26T19:00:00Z,237737603922656
2023-04-26T18:00:00Z,237736372347670
2023-04-26T17:00:00Z,237729527050456
2023-04-26T16:00:00Z,237723744017163
2023-04-26T15:00:00Z,237690153494593
2023-04-26T14:00:00Z,237695670741599
2023-04-26T13:00:00Z,237683668310823
2023-04-26T12:00:00Z,237660393146983
2023-04-26T11:00:00Z,237640335205813
2023-04-26T10:00:00Z,237634201096798
2023-04-26T09:00:00Z,237624906884382
2023-04-26T08:00:00Z,237622480379452
2023-04-26T07:00:00Z,237592078751291
2023-04-26T06:00:00Z,237570458734926
2023-04-26T05:00:00Z,237467610224734
2023-04-26T04:00:00Z,237460969129048
2023-04-26T03:00:00Z,237458315764011
2023-04-26T02:00:00Z,237454147152939
2023-04-26T01:00:00Z,237434379860961
2023-04-26T00:00:00Z,237430568447269
2023-04-25T23:00:00Z,237424903209377
2023-04-25T22:00:00Z,237416141812196
2023-04-25T21:00:00Z,237414516371751
2023-04-25T20:00:00Z,237410837365003
2023-04-25T19:00:00Z,237371083548398
2023-04-25T18:00:00Z,237367974243268
2023-04-25T17:00:00Z,237359244539594
2023-04-25T16:00:00Z,237399814297928
2023-04-25T15:00:00Z,237393202732431
2023-04-25T14:00:00Z,237383991444255
2023-04-25T13:00:00Z,237372500700943
2023-04-25T12:00:00Z,237366966629975
2023-04-25T11:00:00Z,237356325133831
2023-04-25T10:00:00Z,237355269348367
2023-04-25T09:00:00Z,237352497959170
2023-04-25T08:00:00Z,237358491371492
2023-04-25T07:00:00Z,237352706613970
2023-04-25T06:00:00Z,237341489076373
2023-04-25T05:00:00Z,237336881247243
2023-04-25T04:00:00Z,237331888257000
2023-04-25T03:00:00Z,237324298200199
2023-04-25T02:00:00Z,237321436288317
2023-04-25T01:00:00Z,237316769998456
2023-04-25T00:00:00Z,237307857253104
2023-04-24T23:00:00Z,237305730760350
2023-04-24T22:00:00Z,237300501271943
2023-04-24T21:00:00Z,237285510723720
2023-04-24T20:00:00Z,237278191659825
2023-04-24T19:00:00Z,237267481014496
2023-04-24T18:00:00Z,237255179451998
2023-04-24T17:00:00Z,237243155556674
2023-04-24T16:00:00Z,237238713872068
2023-04-24T15:00:00Z,237215405261003
2023-04-24T14:00:00Z,237206643006776
2023-04-24T13:00:00Z,237187153314961
2023-04-24T12:00:00Z,237190814687788
2023-04-24T11:00:00Z,237182004252735
2023-04-24T10:00:00Z,237168869377674
2023-04-24T09:00:00Z,237163351358163
2023-04-24T08:00:00Z,237299468188444
2023-04-24T07:00:00Z,237291487792509
2023-04-24T06:00:00Z,237287099466327
2023-04-24T05:00:00Z,237286315169613
2023-04-24T04:00:00Z,237280401897830
2023-04-24T03:00:00Z,237281380889332
2023-04-24T02:00:00Z,237275869567334
2023-04-24T01:00:00Z,237261973224370
2023-04-24T00:00:00Z,237260047066482
2023-04-23T23:00:00Z,237255931134560
2023-04-23T22:00:00Z,237254778064644
2023-04-23T21:00:00Z,237246849177913
2023-04-23T20:00:00Z,237237657948874
2023-04-23T19:00:00Z,237213589283331
2023-04-23T18:00:00Z,237203222718996
2023-04-23T17:00:00Z,237198037549917
2023-04-23T16:00:00Z,237171649220443
2023-04-23T15:00:00Z,237152181546109
2023-04-23T14:00:00Z,237146532508057
2023-04-23T13:00:00Z,237128755221848
2023-04-23T12:00:00Z,237120912453279
2023-04-23T11:00:00Z,237115136319406
2023-04-23T10:00:00Z,237112057210147
2023-04-23T09:00:00Z,237102795244948
2023-04-23T08:00:00Z,237099450916311
2023-04-23T07:00:00Z,237093785111106
2023-04-23T06:00:00Z,237086796636624
2023-04-23T05:00:00Z,237084409035377
2023-04-23T04:00:00Z,237083009939274
2023-04-23T03:00:00Z,237078284755576
2023-04-23T02:00:00Z,237076799704188
2023-04-23T01:00:00Z,237064886855850
2023-04-23T00:00:00Z,237062082053171
2023-04-22T23:00:00Z,237057970324059
2023-04-22T22:00:00Z,237055312281603
2023-04-22T21:00:00Z,237050909951684
2023-04-22T20:00:00Z,237049758784352
2023-04-22T19:00:00Z,237044870552218
2023-04-22T18:00:00Z,237042684177018
2023-04-22T17:00:00Z,237038484801639
2023-04-22T16:00:00Z,237035077859017
2023-04-22T15:00:00Z,237038187977821
2023-04-22T14:00:00Z,237033825877614
2023-04-22T13:00:00Z,237021078278400
2023-04-22T12:00:00Z,237016731116802
2023-04-22T11:00:00Z,237004372186374
2023-04-22T10:00:00Z,236991558964395
2023-04-22T09:00:00Z,236987749149476
2023-04-22T08:00:00Z,236980401601782
2023-04-22T07:00:00Z,236936315152297
2023-04-22T06:00:00Z,236932613549528
2023-04-22T05:00:00Z,236926128725204
2023-04-22T04:00:00Z,236937345482464
2023-04-22T03:00:00Z,236937656969823
2023-04-22T02:00:00Z,236934382999097
2023-04-22T01:00:00Z,236932368837747
2023-04-22T00:00:00Z,236850953735224
2023-04-21T23:00:00Z,236846782659740
