,_time,denom,moduleName,moduleType,amountValue,boxplot
7665,2023-01-30 20:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7666,2023-01-30 21:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7667,2023-01-30 22:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7668,2023-01-30 23:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7669,2023-01-31 00:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7670,2023-01-31 01:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7671,2023-01-31 02:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7672,2023-01-31 03:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7673,2023-01-31 04:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7674,2023-01-31 05:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7675,2023-01-31 06:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7676,2023-01-31 07:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7677,2023-01-31 08:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7678,2023-01-31 09:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7679,2023-01-31 10:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7680,2023-01-31 11:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7681,2023-01-31 12:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7682,2023-01-31 13:00:00+00:00,uosmo,gov,MODULE,9601000000.0,4
7683,2023-01-31 14:00:00+00:00,uosmo,gov,MODULE,10001000000.0,4
7684,2023-01-31 15:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7685,2023-01-31 16:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7686,2023-01-31 17:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7687,2023-01-31 18:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7688,2023-01-31 19:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7689,2023-01-31 20:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7690,2023-01-31 21:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7691,2023-01-31 22:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7692,2023-01-31 23:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7693,2023-02-01 00:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7694,2023-02-01 01:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7695,2023-02-01 02:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7696,2023-02-01 03:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7697,2023-02-01 04:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7698,2023-02-01 05:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7699,2023-02-01 06:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7700,2023-02-01 07:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7701,2023-02-01 08:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7702,2023-02-01 09:00:00+00:00,uosmo,gov,MODULE,11201000000.0,4
7703,2023-02-01 10:00:00+00:00,uosmo,gov,MODULE,12801000000.0,4
7704,2023-02-01 11:00:00+00:00,uosmo,gov,MODULE,12801000000.0,4
