"time_open","time_close","open","high","low","close","volume","market_cap"
"2023-03-14T01:00:00.000Z","2023-03-14T01:59:59.999Z",24270.501497035657,24512.7924427028,24228.197821827333,24512.7924427028,47664690509.25,473509934696.83
"2023-03-14T02:00:00.000Z","2023-03-14T02:59:59.999Z",24507.28550064292,24555.611391913237,24367.799680956672,24373.651036439976,47321144126.02,470823989047.09
"2023-03-14T03:00:00.000Z","2023-03-14T03:59:59.999Z",24372.17654136252,24510.375690456323,24336.51047722603,24475.448286074774,47141831741.42,472790398883.49
"2023-03-14T04:00:00.000Z","2023-03-14T04:59:59.999Z",24485.60953446878,24537.220608662265,24442.985159996962,24537.220608662265,46725609455.67,473985171513.67
"2023-03-14T05:00:00.000Z","2023-03-14T05:59:59.999Z",24534.834121502132,24851.62012233215,24384.95907280495,24444.423312279097,48264599878.85,472192607345.8
"2023-03-14T06:00:00.000Z","2023-03-14T06:59:59.999Z",24439.15794449525,24544.840612298358,24419.652563085023,24466.94145959792,48290573695.88,472629571927.08
"2023-03-14T07:00:00.000Z","2023-03-14T07:59:59.999Z",24457.042483092293,24523.875324797726,24296.277572872783,24393.2539170751,48383948988.09,471206144657.41
"2023-03-14T08:00:00.000Z","2023-03-14T08:59:59.999Z",24383.01024002779,24407.71119394668,24261.438765089028,24351.594625337606,47971671946.68,470404161016.28
"2023-03-14T09:00:00.000Z","2023-03-14T09:59:59.999Z",24351.520585575083,24391.72757092139,24260.32846681511,24391.72757092139,46895119758.41,471179416390.18
"2023-03-14T10:00:00.000Z","2023-03-14T10:59:59.999Z",24393.908348059183,24701.34917062683,24365.718880466426,24700.69971168546,46728114088.41,477149739709.76
"2023-03-14T11:00:00.000Z","2023-03-14T11:59:59.999Z",24670.461373627193,24899.10022790845,24630.332436641464,24853.938993122465,48132041981.96,480109902138.53
"2023-03-14T12:00:00.000Z","2023-03-14T12:59:59.999Z",24856.08846059078,26089.19598202829,24775.53918335816,26023.776239328985,52536690784.01,502709561175.97
"2023-03-14T13:00:00.000Z","2023-03-14T13:59:59.999Z",25977.274905147337,26514.717165528455,25793.453204363937,25888.62606084903,54624205671.19,500098822200.51
"2023-03-14T14:00:00.000Z","2023-03-14T14:59:59.999Z",25869.13750959335,26115.87989559561,25746.679001631925,26090.37374458927,52839683762.22,503997846598.88
"2023-03-14T15:00:00.000Z","2023-03-14T15:59:59.999Z",25959.221062766406,26019.206845527755,25891.02994534607,25997.626249674155,50109228401.19,502206207346.32
"2023-03-14T16:00:00.000Z","2023-03-14T16:59:59.999Z",26003.370589413073,26087.83973026978,25828.82905840441,25954.701730862227,48946575242.55,501379769003.02
"2023-03-14T17:00:00.000Z","2023-03-14T17:59:59.999Z",25951.325337341677,25970.48796818762,25693.739312107427,25705.738163463047,48414362351.62,496570417032.54
"2023-03-14T18:00:00.000Z","2023-03-14T18:59:59.999Z",25701.228922032467,25705.431945902,25036.04828993384,25073.84908250848,49222609768.19,484365483786.91
"2023-03-14T19:00:00.000Z","2023-03-14T19:59:59.999Z",25046.16747949731,25169.893957481167,24431.450277884927,25027.646365258657,50943043349.54,483472960209.09
"2023-03-14T20:00:00.000Z","2023-03-14T20:59:59.999Z",25170.473176184532,25204.134284251966,24634.3126813925,24701.63300882735,52310621709.56,477177327981.55
"2023-03-14T21:00:00.000Z","2023-03-14T21:59:59.999Z",24632.323324314293,24674.679594259476,24142.48129926967,24616.276942750817,53892009440.41,475528449969.2
"2023-03-14T22:00:00.000Z","2023-03-14T22:59:59.999Z",24615.23746924939,24830.725641277593,24504.61567414535,24790.79484896444,54509792098.46,478900964118.28
"2023-03-14T23:00:00.000Z","2023-03-14T23:59:59.999Z",24787.725408350372,24854.87343328134,24712.10882813718,24746.074658847734,54622230163.97,478037073214.71
"2023-03-15T00:00:00.000Z","2023-03-15T00:59:59.999Z",24770.925668702967,24786.346139992427,24408.472346903614,24749.37413323503,54920217165.91,478102370658.55
"2023-03-15T01:00:00.000Z","2023-03-15T01:59:59.999Z",24788.483363267933,25110.463579574815,24788.372862295073,24967.077719122397,55463611167.96,482307915411.05
"2023-03-15T02:00:00.000Z","2023-03-15T02:59:59.999Z",24970.53405575312,25035.570979526976,24888.644730541924,24927.279131457286,54991571335.77,481540965551.32
"2023-03-15T03:00:00.000Z","2023-03-15T03:59:59.999Z",24915.00378493981,24928.51789701398,24768.18740503973,24808.58711913082,55057354827.79,479248093316.15
"2023-03-15T04:00:00.000Z","2023-03-15T04:59:59.999Z",24812.00686136426,24905.543490400512,24775.336552681954,24897.751919962724,55090265108.24,480973203031.47
"2023-03-15T05:00:00.000Z","2023-03-15T05:59:59.999Z",24898.745622595998,24968.72670336842,24804.656559824278,24805.54674168992,53553327365.21,479191989206.53
"2023-03-15T06:00:00.000Z","2023-03-15T06:59:59.999Z",24812.999979778262,24936.13383000156,24734.584757778273,24900.8866021887,53546691618.94,481035153074.88
"2023-03-15T07:00:00.000Z","2023-03-15T07:59:59.999Z",24882.288065234872,24999.895748793308,24833.574890228134,24999.895748793308,53031632033.99,482947811075.92
"2023-03-15T08:00:00.000Z","2023-03-15T08:59:59.999Z",24999.56696942713,25032.791070042935,24868.457344847728,24879.446384116945,52823559831.01,480622389220.7
"2023-03-15T09:00:00.000Z","2023-03-15T09:59:59.999Z",24867.04474786045,24887.074129083823,24626.234167330058,24673.211874168195,53015330804.64,476638340645.78
"2023-03-15T10:00:00.000Z","2023-03-15T10:59:59.999Z",24664.742816086768,24734.812010980346,24529.714946610038,24664.146334492827,53330695826.26,476465505862.66
"2023-03-15T11:00:00.000Z","2023-03-15T11:59:59.999Z",24629.599702884927,24919.55916121114,24385.956591271482,24846.642508126966,53098693099.18,479990993041.88
"2023-03-15T12:00:00.000Z","2023-03-15T12:59:59.999Z",24874.17870365497,25228.959759342666,24579.877164473422,24918.34175912284,50781146538.94,481377958301.24
"2023-03-15T13:00:00.000Z","2023-03-15T13:59:59.999Z",24933.599900369714,25240.615818348535,24870.749027069658,24873.111801354673,48347408497.6,480504196116.95
"2023-03-15T14:00:00.000Z","2023-03-15T14:59:59.999Z",24882.618202822898,25004.248506024396,24519.90624981957,24762.356545425468,48174423562.59,478365840056.09
"2023-03-15T15:00:00.000Z","2023-03-15T15:59:59.999Z",24784.099617502277,24833.467743495374,24472.862658367183,24537.774602968824,48260891862.94,474027305903.75
"2023-03-15T16:00:00.000Z","2023-03-15T16:59:59.999Z",24527.4180003564,24533.577633340858,24135.469425000243,24157.135059393866,49123038597.82,466675676031.89
"2023-03-15T17:00:00.000Z","2023-03-15T17:59:59.999Z",24167.56200651393,24390.99813783105,23964.909846876988,24341.503715500196,50101238346.05,470237371862.79
"2023-03-15T18:00:00.000Z","2023-03-15T18:59:59.999Z",24320.322644386863,24519.329684388606,24204.6376162439,24433.994298754922,49263779616.91,472026726122.83
"2023-03-15T19:00:00.000Z","2023-03-15T19:59:59.999Z",24472.90168836207,24517.74333230791,24233.6537045014,24349.190521303255,47371713375.61,470388449181.94
"2023-03-15T20:00:00.000Z","2023-03-15T20:59:59.999Z",24418.206693828935,24494.937198231524,24313.825425272273,24393.24163271098,45942125957.71,471241277559.88
"2023-03-15T21:00:00.000Z","2023-03-15T21:59:59.999Z",24407.890846138023,24546.018556599738,24382.45645295578,24524.032955367216,44173009519.67,473767972080.86
"2023-03-15T22:00:00.000Z","2023-03-15T22:59:59.999Z",24516.437076843613,24681.308143154052,24403.61299728228,24491.668686003737,43966803824.03,473143966944.04
"2023-03-15T23:00:00.000Z","2023-03-15T23:59:59.999Z",24470.729759706654,24520.216386990174,24349.115200608223,24375.961357831246,43655701450.2,470908667056.64
"2023-03-16T00:00:00.000Z","2023-03-16T00:59:59.999Z",24373.456617017335,24457.101383235666,24270.252884791247,24270.252884791247,43067498848.1,468869273270.62
"2023-03-16T01:00:00.000Z","2023-03-16T01:59:59.999Z",24282.94610043161,24413.672951557804,24225.110958628262,24411.82235068771,42231530527.56,471604208621.61
"2023-03-16T02:00:00.000Z","2023-03-16T02:59:59.999Z",24404.611436626645,24514.43809668066,24400.482589637046,24455.071221389546,42178190239.14,472441235972.73
"2023-03-16T03:00:00.000Z","2023-03-16T03:59:59.999Z",24447.883682186963,24455.046413606065,24316.89843093637,24348.84672223227,41951887561.4,470389112173.2
